word,count
离开,45
拖鞋,45
毛病,45
🐱,45
a,45
猪,45
🤫,45
你妹,45
几年,45
脾气,45
蚊子,45
大早,45
一大早,45
那有,45
发烧,45
砂,45
吃火锅,45
深圳,45
壳,45
城,45
脱,45
澳门,45
夏天,45
内心,45
志川高,45
闷,44
几百,44
辈子,44
丸子,44
打错,44
佛山市,44
蹭,44
一口,44
敏感,44
有事,44
熟悉,44
渣,44
隔天,44
大哭,44
头晕,44
抽,44
试,44
家里人,44
嫌,44
有理,44
客气,44
顿饭,44
汗,44
南海,44
看电视,44
查,44
相处,44
为难,43
单身,43
坤,43
强,43
刷抖音,43
19,43
剪,43
去年,43
一步,43
很少,43
放在,43
发给你,43
崩溃,43
牛,43
搭理,43
第二天,43
二天,43
看得,43
挤,43
陪你去,43
周日,43
催,43
一人,43
享受,43
运气,43
赚,43
上楼,43
悟,43
便利,43
冬天,43
🐙,43
量,43
笑鼠,43
一杯,42
月份,42
周志鑫,42
准,42
起不来,42
三点,42
好喝,42
成,42
戳,42
鸽,42
+,42
线,42
买单,42
第三,42
楚雨,42
老爷,42
潮汕,42
配,42
我刷,42
暗示,42
算不算,42
一部,42
砂盆,42
皮肤,42
扯,42
不耐,42
镜子,42
鸡胸,42
哥,41
女人,41
留着,41
好远,41
一堆,41
六点,41
云,41
禅城,41
才刚,41
拔,41
残忍,41
小朋友,41
关键,41
日,41
轮回,41
力气,41
肚子饿,41
烦恼,41
26,41
卸妆,41
不该,41
件,41
粥,41
不及,41
外套,41
多天,41
表达,41
小说,41
便利店,41
那件,41
哭哭,41
福利,41
周四,41
推荐,40
🫡,40
午休,40
一下子,40
下子,40
热气,40
我发,40
神奇,40
超,40
懂事,40
好久没,40
回事,40
盖,40
排,40
老实,40
想象,40
聊聊,40
前天,40
心思,40
脚,40
中午饭,40
完会,40
破,40
谁家,40
广场,40
犯困,40
消化,40
冷不冷,40
🥶,40
顶多,40
咋整,40
肿,40
阴阳,40
书包,40
国庆,40
万科,40
欠,39
猜猜,39
受不了,39
意见,39
两三,39
地址,39
喝杯,39
新闻,39
弟弟,39
此话,39
好难,39
一个半,39
截图,39
读书,39
半年,39
阿姨,39
热水,39
普宁,39
配合,39
兴趣,39
坐在,39
糊糊,39
回应,39
这会,39
闲,39
听不懂,39
雨伞,39
睡会,39
我困,39
说不定,39
身份证,39
耐烦,39
不耐烦,39
句,39
无理,39
焦虑,39
喉咙痛,39
刚到,39
牙刷,39
拉粑,39
回头,38
幸福,38
封,38
九点半,38
二次,38
很难,38
撞,38
偷,38
网络,38
霏霏,38
寄,38
长得,38
惨,38
那得,38
没错,38
🙋,38
招呼,38
电,38
睡得,38
随时,38
杀,38
明白,38
下单,38
环宇,38
拌,38
敷,38
停,38
小小的,38
套,38
高速,38
卫衣,38
阳台,38
伞,38
火鸡,37
香锅,37
好多个,37
明年,37
天花,37
看不出,37
对比,37
号码,37
小丸子,37
屎,37
空,37
不必,37
不烦,37
OK,37
过敏,37
扒,37
几十,37
撒,37
评价,37
敲打,37
脖子,37
垫,37
样,37
指,37
尊重,37
裙子,37
脚哥,37
哪来,36
闻,36
家庭,36
居家,36
监控,36
吵醒,36
我开,36
不快,36
300,36
脑,36
晚睡,36
办,36
动手,36
空间,36
面对,36
顺路,36
承认,36
行不行,36
快要,36
分开,36
难怪,36
学习,36
面前,36
同一个,36
半天,36
小气,36
跟着,36
大风,36
十五,36
日子,36
三次,36
两,36
冷死,36
早早,36
>,36
坑,36
湖,36
心态,36
异性,36
过程,36
辣椒,36
本身,36
答,36
谱,36
袜子,36
当年,35
美式,35
一分,35
赢,35
